# Field minima and maxima
# Time            	field             	min               	location(min)     	processor         	max               	location(max)     	processor         
0.0174437862604   	p                 	1.0131011600e+05	(4.6829517443e+00 2.4870276386e-02 2.9703593915e+00)	5	1.0152458834e+05	(4.8291732225e+00 6.9672302078e-01 1.0999411154e+00)	5
0.0176942186738   	p                 	1.0132396604e+05	(6.6916867680e+00 9.9994991972e-02 3.7067127212e+00)	7	1.0152539477e+05	(2.0045715633e+00 2.4921090786e-02 2.9785869745e+00)	5
0.0179446510872   	p                 	1.0131503708e+05	(4.6846501735e+00 2.2701179424e+00 2.4851510134e-02)	5	1.0152400699e+05	(2.2118887834e+00 2.4921064645e-02 2.9785869728e+00)	5
0.0181950835005   	p                 	1.0131572246e+05	(4.6846501735e+00 2.2701179424e+00 2.4851510134e-02)	5	1.0151772436e+05	(1.2394894350e-01 1.3240313236e+00 1.4759713228e+00)	4
0.0184455159139   	p                 	1.0132093041e+05	(5.7362320140e+00 1.0214563544e+00 2.4826529473e-02)	7	1.0153052796e+05	(1.2394895714e-01 1.2759730724e+00 1.4759715974e+00)	4
0.0186959483273   	p                 	1.0132183593e+05	(5.8917199925e+00 1.0213376240e+00 2.4821576738e-02)	7	1.0153648064e+05	(1.9694841565e-01 1.2500364594e+00 1.4500081805e+00)	4
0.0189463807407   	p                 	1.0132254340e+05	(5.9953791209e+00 1.0213206407e+00 2.4835443125e-02)	7	1.0153657715e+05	(1.3444255433e-01 2.4904293251e-02 2.9790791225e+00)	4
0.0191968131541   	p                 	1.0131906518e+05	(5.0340897327e+00 9.9504514139e-02 1.7014313003e+00)	5	1.0155326156e+05	(1.3444255433e-01 2.4904293251e-02 2.9790791225e+00)	4
0.0194472455675   	p                 	1.0131586842e+05	(5.0340897327e+00 9.9504514139e-02 1.7014313003e+00)	5	1.0155760082e+05	(1.3444255433e-01 2.4904293251e-02 2.9790791225e+00)	4
0.0196976779808   	p                 	1.0131449929e+05	(5.0338796740e+00 9.9468452753e-02 1.5000706886e+00)	5	1.0156186233e+05	(1.3440709414e-01 2.2794167266e+00 1.4750002376e+00)	4
0.0199481103942   	p                 	1.0130967815e+05	(5.2417967757e+00 9.9522728431e-02 1.4992128309e+00)	7	1.0156399223e+05	(1.3440709414e-01 2.2794167266e+00 1.4750002376e+00)	4
0.0201985428076   	p                 	1.0130473934e+05	(5.2417967757e+00 9.9522728431e-02 1.4992128309e+00)	7	1.0156384917e+05	(1.4262225157e-01 2.2789348172e+00 2.9734775365e+00)	4
0.020448975221    	p                 	1.0130856058e+05	(5.4494169886e+00 9.9592285624e-02 1.4984552014e+00)	7	1.0157690034e+05	(1.4262225157e-01 2.2789348172e+00 2.9734775365e+00)	4
0.0206994076344   	p                 	1.0130182559e+05	(5.4494169886e+00 9.9592285624e-02 1.4984552014e+00)	7	1.0158384001e+05	(1.4262225157e-01 2.2789348172e+00 2.9734775365e+00)	4
0.0209498400477   	p                 	1.0130589572e+05	(5.4494169886e+00 9.9592285624e-02 1.4984552014e+00)	7	1.0158609529e+05	(1.4262225157e-01 2.2789348172e+00 2.9734775365e+00)	4
0.0212002724611   	p                 	1.0130918682e+05	(5.6568325179e+00 9.9663707478e-02 1.4978642909e+00)	7	1.0159648903e+05	(1.3440708135e-01 2.2794167043e+00 5.7500025152e-01)	4
0.0214507048745   	p                 	1.0131220051e+05	(5.6568325179e+00 9.9663707478e-02 1.4978642909e+00)	7	1.0160264958e+05	(1.3440708135e-01 2.2794167043e+00 5.7500025152e-01)	4
0.0217011372879   	p                 	1.0131973662e+05	(5.8641515665e+00 9.9727643145e-02 1.4973875495e+00)	7	1.0160011127e+05	(1.3440708135e-01 2.2794167043e+00 5.7500025152e-01)	4
0.0219515697013   	p                 	1.0132148862e+05	(5.8641515665e+00 9.9727643145e-02 1.4973875495e+00)	7	1.0158977411e+05	(1.3440705682e-01 2.2794166978e+00 5.2499985823e-01)	4
0.0222020021147   	p                 	1.0131936899e+05	(4.8014316361e+00 2.4978558125e-02 2.6868304151e+00)	5	1.0157508302e+05	(1.3440728190e-01 2.2794179073e+00 3.2499890170e-01)	4
0.022452434528    	p                 	1.0132304519e+05	(4.8015797216e+00 2.7499663465e-01 2.6875045507e+00)	5	1.0156742263e+05	(1.3445870848e-01 2.2793026718e+00 2.4901515150e-02)	4
0.0227028669414   	p                 	1.0132315399e+05	(5.9176767759e+00 4.9843985452e-02 3.4286695694e-01)	7	1.0155720231e+05	(1.3445870848e-01 2.2793026718e+00 2.4901515150e-02)	4
0.0229532993548   	p                 	1.0131999898e+05	(6.0213353354e+00 4.9843974831e-02 3.4286399303e-01)	7	1.0154535552e+05	(1.1753014070e+00 1.2250011756e+00 2.9792027387e+00)	4
0.0232037317682   	p                 	1.0131766970e+05	(6.1249946380e+00 4.9843926086e-02 3.4286197242e-01)	7	1.0155147668e+05	(1.1234717409e+00 1.2750013737e+00 2.9792024180e+00)	4
0.0234541641816   	p                 	1.0131600328e+05	(6.2286530247e+00 4.9843801693e-02 3.4286072478e-01)	7	1.0154970341e+05	(1.0716418386e+00 1.3250014343e+00 2.9792020690e+00)	4
0.0237045965949   	p                 	1.0131509809e+05	(6.3323122790e+00 4.9843720487e-02 3.4285978731e-01)	7	1.0154003262e+05	(1.0198110474e+00 1.3750021660e+00 2.9792008821e+00)	4
0.0239550290083   	p                 	1.0131227853e+05	(4.6833490524e+00 2.2704459265e+00 1.0749999777e+00)	5	1.0154010113e+05	(1.2394815345e-01 1.1759726228e+00 1.4759715645e+00)	4
0.0242054614217   	p                 	1.0131344220e+05	(4.6833490533e+00 2.2704459271e+00 9.7499997703e-01)	5	1.0155094135e+05	(1.3444255433e-01 2.4904293251e-02 2.9790791225e+00)	4
