# Field minima and maxima
# Time            	field             	min               	location(min)     	processor         	max               	location(max)     	processor         
0.210159647889    	T                 	2.8430186910e+02	(7.1261144207e+00 1.3739807388e+00 2.6270522178e+00)	7	1.5031682386e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.210184255889    	T                 	2.8428825177e+02	(7.1261144207e+00 1.3739807388e+00 2.6270522178e+00)	7	1.5031849597e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.210208313741    	T                 	2.8427490161e+02	(7.1261144207e+00 1.3739807388e+00 2.6270522178e+00)	7	1.5032014270e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.210232055797    	T                 	2.8426182974e+02	(7.1261144207e+00 1.3739807388e+00 2.6270522178e+00)	7	1.5032178755e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.210255699046    	T                 	2.8424903676e+02	(7.1261144207e+00 1.3739807388e+00 2.6270522178e+00)	7	1.5032345304e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.210279398688    	T                 	2.8423651760e+02	(7.1261144207e+00 1.3739807388e+00 2.6270522178e+00)	7	1.5032515767e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.210303254905    	T                 	2.8422423891e+02	(7.1261144207e+00 1.3739807388e+00 2.6270522178e+00)	7	1.5032691629e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.210327313539    	T                 	2.8421212619e+02	(7.1261144207e+00 1.3739807388e+00 2.6270522178e+00)	7	1.5032873980e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.210351578179    	T                 	2.8420005850e+02	(7.1261144207e+00 1.3739807388e+00 2.6270522178e+00)	7	1.5033063540e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.210376007274    	T                 	2.8418788558e+02	(7.1261144207e+00 1.3739807388e+00 2.6270522178e+00)	7	1.5033260577e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.210400527072    	T                 	2.8417545311e+02	(7.1261144207e+00 1.3739807388e+00 2.6270522178e+00)	7	1.5033464918e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.210425031696    	T                 	2.8416264088e+02	(7.1261144207e+00 1.3739807388e+00 2.6270522178e+00)	7	1.5033675893e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.210449475778    	T                 	2.8414935629e+02	(7.1261144207e+00 1.3739807388e+00 2.6270522178e+00)	7	1.5033893066e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.210473799593    	T                 	2.8413559118e+02	(7.1261144207e+00 1.3739807388e+00 2.6270522178e+00)	7	1.5034115651e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.210498004248    	T                 	2.8412138878e+02	(7.1261144207e+00 1.3739807388e+00 2.6270522178e+00)	7	1.5034331838e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.21052209083     	T                 	2.8410686276e+02	(7.1261144207e+00 1.3739807388e+00 2.6270522178e+00)	7	1.5034548824e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.210546089559    	T                 	2.8409216067e+02	(7.1261144207e+00 1.3739807388e+00 2.6270522178e+00)	7	1.5034779538e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.210570030039    	T                 	2.8407745443e+02	(7.1261144207e+00 1.3739807388e+00 2.6270522178e+00)	7	1.5035017336e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.210593941482    	T                 	2.8406291409e+02	(7.1261144207e+00 1.3739807388e+00 2.6270522178e+00)	7	1.5035251204e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
