Simulation_Iteration,Time,deltaT,PIMPLE_Iterations
388,2798.51,0.0001688784664,13
389,2803.83,0.0001688784664,13
390,2809.19,0.0001666563814,13
391,2814.66,0.0001666563814,13
392,2820.14,0.0001666563814,13
393,2825.49,0.0001644042681,13
394,2830.8,0.0001644042681,13
395,2836.09,0.0001644042681,13
396,2841.35,0.0001621208755,13
397,2846.69,0.0001621208755,13
398,2851.96,0.0001621208755,13
399,2857.34,0.000159804863,13
400,2862.71,0.000159804863,13
401,2868.12,0.000159804863,13
402,2873.45,0.000159804863,13
403,2878.78,0.0001574197158,13
404,2884.05,0.0001574197158,13
405,2889.33,0.0001574197158,13
406,2894.6,0.0001574197158,13
407,2899.85,0.0001549600327,13
408,2905.14,0.0001549600327,13
409,2910.61,0.0001549600327,13
410,2915.94,0.0001549600327,13
411,2921.32,0.0001524197043,13
412,2926.81,0.0001524197043,13
413,2932.17,0.0001524197043,13
414,2937.48,0.0001524197043,13
415,2942.8,0.0001524197043,13
416,2948.24,0.0001524197043,13
417,2953.53,0.0001496979239,13
418,2958.8,0.0001496979239,13
419,2964.11,0.0001496979239,13
420,2969.46,0.0001496979239,13
421,2974.71,0.0001496979239,13
422,2979.95,0.0001496979239,13
423,2985.23,0.0001467626705,13
424,2990.54,0.0001467626705,13
425,2995.8,0.0001467626705,13
426,3001.17,0.0001467626705,13
427,3006.44,0.0001467626705,13
428,3011.77,0.0001436400604,13
429,3017.05,0.0001436400604,13
430,3022.35,0.0001436400604,13
431,3027.65,0.0001436400604,13
432,3032.93,0.0001436400604,13
433,3038.25,0.0001436400604,13
434,3043.58,0.0001436400604,13
435,3048.89,0.0001401366443,13
436,3053.86,0.0001401366443,12
437,3058.82,0.0001401366443,12
438,3063.74,0.0001401366443,12
439,3068.63,0.0001401366443,12
440,3073.54,0.0001401366443,12
441,3078.44,0.0001362439598,12
442,3083.39,0.0001362439598,12
443,3088.35,0.0001362439598,12
444,3093.3,0.0001362439598,12
445,3098.22,0.0001362439598,12
446,3103.13,0.0001362439598,12
447,3108.03,0.0001362439598,12
448,3112.91,0.0001362439598,12
449,3117.81,0.0001362439598,12
450,3122.69,0.0001362439598,12
451,3127.53,0.0001311978872,12
452,3132.34,0.0001311978872,12
453,3137.19,0.0001311978872,12
454,3142.07,0.0001311978872,12
455,3146.94,0.0001311978872,12
456,3151.85,0.0001311978872,12
457,3156.78,0.0001311978872,12
458,3161.71,0.0001311978872,12
459,3166.6,0.0001311978872,12
460,3171.51,0.0001311978872,12
461,3176.4,0.0001311978872,12
462,3181.42,0.0001311978872,12
463,3186.41,0.0001311978872,12
464,3191.31,0.0001311978872,12
465,3196.19,0.0001311978872,12
466,3201.09,0.0001311978872,12
467,3206,0.0001311978872,12
468,3210.86,0.0001311978872,12
469,3215.73,0.0001311978872,12
470,3220.63,0.0001311978872,12
471,3225.53,0.0001311978872,12
472,3230.45,0.0001311978872,12
473,3235.31,0.0001311978872,12
474,3240.16,0.0001311978872,12
475,3245.02,0.0001311978872,12
476,3249.88,0.0001311978872,12
477,3254.76,0.0001311978872,12
478,3259.64,0.0001246882793,12
479,3264.59,0.0001246882793,12
480,3269.42,0.0001243765586,12
481,3274.25,0.0001240656172,12
482,3279.09,0.0001237554532,12
483,3283.97,0.0001234460645,12
484,3288.82,0.0001231374494,12
485,3293.71,0.0001228296057,12
486,3298.61,0.0001225225317,12
487,3303.55,0.0001222162254,12
488,3308.48,0.0001219106848,12
489,3313.39,0.0001216059081,12
490,3318.29,0.0001213018934,12
491,3323.23,0.0001209986386,12
492,3328.14,0.000120696142,12
493,3332.98,0.0001203944017,12
494,3337.81,0.0001200934157,12
495,3342.26,0.0001197931821,11
496,3346.74,0.0001194936992,11
497,3351.22,0.0001191949649,11
498,3355.74,0.0001188969775,11
499,3360.22,0.0001185997351,11
500,3364.72,0.0001183032357,11
501,3369.31,0.0001180074776,11
502,3373.91,0.0001177124589,11
503,3378.42,0.0001177124589,11
504,3382.92,0.0001174174403,11
505,3387.42,0.0001168303531,11
506,3391.93,0.0001165382772,11
507,3396.41,0.0001162469315,11
508,3400.88,0.0001159563141,11
509,3405.33,0.0001156664234,11
510,3409.76,0.0001153772573,11
511,3414.19,0.0001150888142,11
512,3418.63,0.0001148010921,11
513,3423.19,0.0001145140894,11
514,3427.69,0.0001142278042,11
515,3432.2,0.0001139422347,11
516,3436.68,0.0001136573791,11
517,3441.22,0.0001133732356,11
518,3445.77,0.0001130898025,11
519,3450.26,0.000112807078,11
520,3454.75,0.0001125250603,11
521,3459.29,0.0001122437477,11
522,3463.84,0.0001119631383,11
523,3468.31,0.0001116832305,11
524,3472.74,0.0001114040224,11
525,3477.2,0.0001111255123,11
526,3481.68,0.0001108476986,11
527,3486.2,0.0001108476986,11
528,3490.74,0.0001105698848,11
529,3495.23,0.0001102927673,11
530,3499.73,0.0001100163443,11
531,3504.21,0.0001097406141,11
532,3508.7,0.000109465575,11
533,3513.17,0.0001091912252,11
